#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  6.767E-14 	   3.944E+16 	   1.123E+02
  6.887E-14 	   4.015E+16 	   1.143E+02
  7.009E-14 	   4.086E+16 	   1.163E+02
  7.133E-14 	   4.159E+16 	   1.184E+02
  7.259E-14 	   4.233E+16 	   1.205E+02
  7.388E-14 	   4.309E+16 	   1.226E+02
  7.518E-14 	   4.385E+16 	   1.248E+02
  7.652E-14 	   4.464E+16 	   1.270E+02
  7.787E-14 	   4.543E+16 	   1.293E+02
  7.925E-14 	   4.624E+16 	   1.316E+02
  8.065E-14 	   4.707E+16 	   1.339E+02
  8.208E-14 	   4.791E+16 	   1.363E+02
  8.353E-14 	   4.877E+16 	   1.387E+02
  8.501E-14 	   4.964E+16 	   1.411E+02
  8.652E-14 	   5.052E+16 	   1.436E+02
  8.805E-14 	   5.143E+16 	   1.462E+02
  8.961E-14 	   5.235E+16 	   1.488E+02
  9.120E-14 	   5.328E+16 	   1.514E+02
  9.281E-14 	   5.424E+16 	   1.541E+02
  9.445E-14 	   5.521E+16 	   1.568E+02
  9.613E-14 	   5.620E+16 	   1.596E+02
  9.783E-14 	   5.720E+16 	   1.624E+02
  9.956E-14 	   5.823E+16 	   1.653E+02
  1.013E-13 	   5.927E+16 	   1.682E+02
  1.031E-13 	   6.033E+16 	   1.712E+02
  1.049E-13 	   6.141E+16 	   1.742E+02
  1.068E-13 	   6.252E+16 	   1.773E+02
  1.087E-13 	   6.364E+16 	   1.804E+02
  1.106E-13 	   6.478E+16 	   1.836E+02
  1.126E-13 	   6.595E+16 	   1.869E+02
  1.146E-13 	   6.713E+16 	   1.902E+02
  1.166E-13 	   6.834E+16 	   1.936E+02
  1.187E-13 	   6.957E+16 	   1.970E+02
  1.208E-13 	   7.082E+16 	   2.005E+02
  1.229E-13 	   7.209E+16 	   2.040E+02
  1.251E-13 	   7.339E+16 	   2.076E+02
  1.273E-13 	   7.471E+16 	   2.113E+02
  1.295E-13 	   7.606E+16 	   2.150E+02
