#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  8.044E-08 	   2.625E+25 	   1.336E+08
  8.186E-08 	   2.688E+25 	   1.360E+08
  8.331E-08 	   2.752E+25 	   1.384E+08
  8.478E-08 	   2.818E+25 	   1.408E+08
  8.629E-08 	   2.886E+25 	   1.433E+08
  8.781E-08 	   2.955E+25 	   1.458E+08
  8.937E-08 	   3.026E+25 	   1.484E+08
  9.095E-08 	   3.099E+25 	   1.511E+08
  9.256E-08 	   3.173E+25 	   1.537E+08
  9.420E-08 	   3.249E+25 	   1.565E+08
  9.587E-08 	   3.327E+25 	   1.592E+08
  9.756E-08 	   3.406E+25 	   1.620E+08
  9.929E-08 	   3.488E+25 	   1.649E+08
  1.010E-07 	   3.571E+25 	   1.678E+08
  1.028E-07 	   3.656E+25 	   1.708E+08
  1.047E-07 	   3.744E+25 	   1.738E+08
  1.065E-07 	   3.833E+25 	   1.769E+08
  1.084E-07 	   3.925E+25 	   1.800E+08
  1.103E-07 	   4.018E+25 	   1.832E+08
  1.123E-07 	   4.114E+25 	   1.865E+08
  1.143E-07 	   4.212E+25 	   1.898E+08
  1.163E-07 	   4.313E+25 	   1.931E+08
  1.183E-07 	   4.416E+25 	   1.966E+08
  1.204E-07 	   4.521E+25 	   2.000E+08
  1.226E-07 	   4.629E+25 	   2.036E+08
  1.247E-07 	   4.739E+25 	   2.072E+08
  1.269E-07 	   4.852E+25 	   2.108E+08
  1.292E-07 	   4.967E+25 	   2.146E+08
  1.315E-07 	   5.085E+25 	   2.184E+08
  1.338E-07 	   5.206E+25 	   2.222E+08
  1.362E-07 	   5.330E+25 	   2.262E+08
  1.386E-07 	   5.457E+25 	   2.302E+08
  1.410E-07 	   5.586E+25 	   2.343E+08
  1.435E-07 	   5.719E+25 	   2.384E+08
  1.461E-07 	   5.855E+25 	   2.426E+08
  1.487E-07 	   5.994E+25 	   2.469E+08
  1.513E-07 	   6.136E+25 	   2.513E+08
  1.540E-07 	   6.281E+25 	   2.557E+08
  1.567E-07 	   6.430E+25 	   2.603E+08
  1.595E-07 	   6.583E+25 	   2.649E+08
  1.623E-07 	   6.739E+25 	   2.696E+08
  1.652E-07 	   6.899E+25 	   2.743E+08
  1.681E-07 	   7.062E+25 	   2.792E+08
  1.711E-07 	   7.229E+25 	   2.842E+08
  1.741E-07 	   7.400E+25 	   2.892E+08
  1.772E-07 	   7.575E+25 	   2.943E+08
  1.803E-07 	   7.755E+25 	   2.995E+08
  1.835E-07 	   7.938E+25 	   3.048E+08
  1.867E-07 	   8.126E+25 	   3.102E+08
  1.901E-07 	   8.318E+25 	   3.157E+08
  1.934E-07 	   8.514E+25 	   3.213E+08
  1.968E-07 	   8.715E+25 	   3.270E+08
  2.003E-07 	   8.921E+25 	   3.328E+08
  2.039E-07 	   9.132E+25 	   3.387E+08
  2.075E-07 	   9.347E+25 	   3.447E+08
  2.112E-07 	   9.568E+25 	   3.508E+08
  2.149E-07 	   9.793E+25 	   3.570E+08
  2.187E-07 	   1.002E+26 	   3.633E+08
  2.226E-07 	   1.026E+26 	   3.697E+08
  2.265E-07 	   1.050E+26 	   3.763E+08
  2.305E-07 	   1.075E+26 	   3.829E+08
  2.346E-07 	   1.100E+26 	   3.897E+08
  2.387E-07 	   1.126E+26 	   3.966E+08
  2.430E-07 	   1.153E+26 	   4.036E+08
  2.473E-07 	   1.180E+26 	   4.108E+08
  2.516E-07 	   1.208E+26 	   4.181E+08
  2.561E-07 	   1.236E+26 	   4.255E+08
  2.606E-07 	   1.265E+26 	   4.330E+08
  2.653E-07 	   1.295E+26 	   4.407E+08
  2.699E-07 	   1.325E+26 	   4.485E+08
  2.747E-07 	   1.356E+26 	   4.564E+08
  2.796E-07 	   1.388E+26 	   4.645E+08
  2.845E-07 	   1.421E+26 	   4.727E+08
  2.896E-07 	   1.454E+26 	   4.811E+08
  2.947E-07 	   1.488E+26 	   4.896E+08
  2.999E-07 	   1.523E+26 	   4.983E+08
  3.052E-07 	   1.559E+26 	   5.071E+08
  3.106E-07 	   1.595E+26 	   5.161E+08
  3.161E-07 	   1.633E+26 	   5.252E+08
  3.217E-07 	   1.671E+26 	   5.345E+08
  3.274E-07 	   1.710E+26 	   5.440E+08
  3.332E-07 	   1.750E+26 	   5.536E+08
  3.391E-07 	   1.791E+26 	   5.634E+08
  3.451E-07 	   1.833E+26 	   5.734E+08
  3.512E-07 	   1.876E+26 	   5.836E+08
  3.574E-07 	   1.920E+26 	   5.939E+08
  3.638E-07 	   1.965E+26 	   6.044E+08
  3.702E-07 	   2.011E+26 	   6.151E+08
  3.768E-07 	   2.058E+26 	   6.260E+08
  3.834E-07 	   2.106E+26 	   6.371E+08
  3.902E-07 	   2.155E+26 	   6.484E+08
  3.971E-07 	   2.205E+26 	   6.598E+08
  4.041E-07 	   2.257E+26 	   6.715E+08
  4.113E-07 	   2.309E+26 	   6.834E+08
  4.186E-07 	   2.363E+26 	   6.955E+08
  4.260E-07 	   2.419E+26 	   7.078E+08
  4.335E-07 	   2.475E+26 	   7.204E+08
  4.412E-07 	   2.533E+26 	   7.331E+08
  4.490E-07 	   2.592E+26 	   7.461E+08
  4.570E-07 	   2.652E+26 	   7.593E+08
  4.650E-07 	   2.714E+26 	   7.728E+08
  4.733E-07 	   2.777E+26 	   7.864E+08
  4.817E-07 	   2.842E+26 	   8.004E+08
  4.902E-07 	   2.908E+26 	   8.145E+08
  4.989E-07 	   2.976E+26 	   8.290E+08
  5.077E-07 	   3.045E+26 	   8.436E+08
  5.167E-07 	   3.116E+26 	   8.586E+08
  5.258E-07 	   3.188E+26 	   8.738E+08
  5.351E-07 	   3.263E+26 	   8.892E+08
  5.446E-07 	   3.338E+26 	   9.050E+08
  5.542E-07 	   3.416E+26 	   9.210E+08
  5.640E-07 	   3.495E+26 	   9.373E+08
  5.740E-07 	   3.577E+26 	   9.539E+08
  5.842E-07 	   3.660E+26 	   9.708E+08
  5.945E-07 	   3.745E+26 	   9.880E+08
  6.050E-07 	   3.832E+26 	   1.006E+09
  6.158E-07 	   3.921E+26 	   1.023E+09
  6.267E-07 	   4.012E+26 	   1.041E+09
  6.377E-07 	   4.105E+26 	   1.060E+09
  6.490E-07 	   4.200E+26 	   1.079E+09
  6.605E-07 	   4.298E+26 	   1.098E+09
  6.722E-07 	   4.397E+26 	   1.117E+09
  6.841E-07 	   4.499E+26 	   1.137E+09
  6.962E-07 	   4.604E+26 	   1.157E+09
  7.085E-07 	   4.710E+26 	   1.178E+09
  7.211E-07 	   4.819E+26 	   1.198E+09
  7.338E-07 	   4.931E+26 	   1.220E+09
  7.468E-07 	   5.045E+26 	   1.241E+09
  7.600E-07 	   5.162E+26 	   1.263E+09
  7.735E-07 	   5.282E+26 	   1.286E+09
  7.872E-07 	   5.404E+26 	   1.308E+09
  8.011E-07 	   5.529E+26 	   1.332E+09
  8.153E-07 	   5.657E+26 	   1.355E+09
  8.297E-07 	   5.788E+26 	   1.379E+09
  8.444E-07 	   5.922E+26 	   1.404E+09
  8.593E-07 	   6.059E+26 	   1.428E+09
  8.746E-07 	   6.199E+26 	   1.454E+09
  8.900E-07 	   6.342E+26 	   1.479E+09
  9.058E-07 	   6.489E+26 	   1.506E+09
  9.218E-07 	   6.639E+26 	   1.532E+09
  9.381E-07 	   6.792E+26 	   1.559E+09
  9.547E-07 	   6.949E+26 	   1.587E+09
  9.716E-07 	   7.109E+26 	   1.615E+09
  9.888E-07 	   7.274E+26 	   1.644E+09
  1.006E-06 	   7.441E+26 	   1.673E+09
  1.024E-06 	   7.613E+26 	   1.702E+09
  1.042E-06 	   7.789E+26 	   1.733E+09
  1.061E-06 	   7.969E+26 	   1.763E+09
  1.079E-06 	   8.153E+26 	   1.794E+09
  1.099E-06 	   8.341E+26 	   1.826E+09
  1.118E-06 	   8.533E+26 	   1.859E+09
  1.138E-06 	   8.730E+26 	   1.891E+09
  1.158E-06 	   8.931E+26 	   1.925E+09
  1.178E-06 	   9.137E+26 	   1.959E+09
  1.199E-06 	   9.347E+26 	   1.994E+09
  1.221E-06 	   9.563E+26 	   2.029E+09
  1.242E-06 	   9.783E+26 	   2.065E+09
  1.264E-06 	   1.001E+27 	   2.102E+09
  1.286E-06 	   1.024E+27 	   2.139E+09
  1.309E-06 	   1.047E+27 	   2.177E+09
  1.332E-06 	   1.072E+27 	   2.215E+09
  1.356E-06 	   1.096E+27 	   2.254E+09
  1.380E-06 	   1.121E+27 	   2.294E+09
  1.404E-06 	   1.147E+27 	   2.335E+09
  1.429E-06 	   1.174E+27 	   2.376E+09
  1.455E-06 	   1.201E+27 	   2.418E+09
  1.480E-06 	   1.228E+27 	   2.461E+09
  1.506E-06 	   1.257E+27 	   2.505E+09
  1.533E-06 	   1.285E+27 	   2.549E+09
  1.560E-06 	   1.315E+27 	   2.594E+09
  1.588E-06 	   1.345E+27 	   2.640E+09
  1.616E-06 	   1.376E+27 	   2.687E+09
  1.645E-06 	   1.408E+27 	   2.734E+09
  1.674E-06 	   1.440E+27 	   2.783E+09
  1.703E-06 	   1.473E+27 	   2.832E+09
  1.733E-06 	   1.507E+27 	   2.882E+09
  1.764E-06 	   1.542E+27 	   2.933E+09
  1.795E-06 	   1.577E+27 	   2.985E+09
  1.827E-06 	   1.613E+27 	   3.038E+09
  1.859E-06 	   1.650E+27 	   3.092E+09
  1.892E-06 	   1.688E+27 	   3.147E+09
  1.926E-06 	   1.727E+27 	   3.202E+09
  1.960E-06 	   1.767E+27 	   3.259E+09
  1.995E-06 	   1.807E+27 	   3.317E+09
  2.030E-06 	   1.848E+27 	   3.376E+09
  2.066E-06 	   1.891E+27 	   3.435E+09
  2.102E-06 	   1.934E+27 	   3.496E+09
  2.140E-06 	   1.979E+27 	   3.558E+09
  2.177E-06 	   2.024E+27 	   3.621E+09
  2.216E-06 	   2.070E+27 	   3.685E+09
  2.255E-06 	   2.118E+27 	   3.750E+09
  2.295E-06 	   2.166E+27 	   3.817E+09
  2.336E-06 	   2.216E+27 	   3.884E+09
  2.377E-06 	   2.267E+27 	   3.953E+09
  2.419E-06 	   2.319E+27 	   4.023E+09
  2.462E-06 	   2.372E+27 	   4.094E+09
  2.505E-06 	   2.426E+27 	   4.167E+09
  2.550E-06 	   2.482E+27 	   4.241E+09
  2.595E-06 	   2.539E+27 	   4.316E+09
  2.641E-06 	   2.597E+27 	   4.392E+09
  2.688E-06 	   2.656E+27 	   4.470E+09
  2.735E-06 	   2.717E+27 	   4.549E+09
  2.783E-06 	   2.779E+27 	   4.630E+09
  2.833E-06 	   2.843E+27 	   4.712E+09
  2.883E-06 	   2.908E+27 	   4.795E+09
  2.934E-06 	   2.974E+27 	   4.880E+09
  2.986E-06 	   3.043E+27 	   4.966E+09
  3.039E-06 	   3.112E+27 	   5.054E+09
  3.092E-06 	   3.183E+27 	   5.144E+09
  3.147E-06 	   3.256E+27 	   5.235E+09
  3.203E-06 	   3.331E+27 	   5.328E+09
  3.259E-06 	   3.407E+27 	   5.422E+09
  3.317E-06 	   3.485E+27 	   5.518E+09
  3.376E-06 	   3.564E+27 	   5.616E+09
  3.435E-06 	   3.646E+27 	   5.715E+09
  3.496E-06 	   3.729E+27 	   5.816E+09
  3.558E-06 	   3.815E+27 	   5.919E+09
  3.621E-06 	   3.902E+27 	   6.024E+09
  3.685E-06 	   3.991E+27 	   6.131E+09
  3.750E-06 	   4.082E+27 	   6.239E+09
  3.817E-06 	   4.175E+27 	   6.350E+09
  3.884E-06 	   4.271E+27 	   6.462E+09
  3.953E-06 	   4.368E+27 	   6.577E+09
  4.023E-06 	   4.468E+27 	   6.693E+09
  4.094E-06 	   4.570E+27 	   6.812E+09
  4.167E-06 	   4.675E+27 	   6.932E+09
  4.240E-06 	   4.782E+27 	   7.055E+09
  4.315E-06 	   4.891E+27 	   7.180E+09
  4.392E-06 	   5.002E+27 	   7.307E+09
  4.469E-06 	   5.117E+27 	   7.436E+09
  4.548E-06 	   5.234E+27 	   7.568E+09
  4.629E-06 	   5.353E+27 	   7.702E+09
  4.711E-06 	   5.475E+27 	   7.839E+09
  4.794E-06 	   5.600E+27 	   7.977E+09
  4.879E-06 	   5.728E+27 	   8.119E+09
  4.965E-06 	   5.859E+27 	   8.262E+09
  5.053E-06 	   5.993E+27 	   8.409E+09
  5.142E-06 	   6.129E+27 	   8.558E+09
  5.233E-06 	   6.269E+27 	   8.709E+09
  5.326E-06 	   6.412E+27 	   8.863E+09
  5.420E-06 	   6.559E+27 	   9.020E+09
  5.516E-06 	   6.709E+27 	   9.180E+09
  5.614E-06 	   6.862E+27 	   9.342E+09
  5.713E-06 	   7.018E+27 	   9.508E+09
  5.814E-06 	   7.178E+27 	   9.676E+09
  5.917E-06 	   7.342E+27 	   9.848E+09
  6.022E-06 	   7.510E+27 	   1.002E+10
  6.128E-06 	   7.681E+27 	   1.020E+10
  6.237E-06 	   7.856E+27 	   1.038E+10
  6.347E-06 	   8.035E+27 	   1.056E+10
  6.459E-06 	   8.219E+27 	   1.075E+10
  6.573E-06 	   8.406E+27 	   1.094E+10
  6.690E-06 	   8.598E+27 	   1.113E+10
  6.808E-06 	   8.794E+27 	   1.133E+10
  6.929E-06 	   8.995E+27 	   1.153E+10
  7.051E-06 	   9.200E+27 	   1.174E+10
  7.176E-06 	   9.410E+27 	   1.194E+10
  7.303E-06 	   9.624E+27 	   1.216E+10
  7.432E-06 	   9.844E+27 	   1.237E+10
  7.563E-06 	   1.007E+28 	   1.259E+10
  7.697E-06 	   1.030E+28 	   1.281E+10
  7.833E-06 	   1.053E+28 	   1.304E+10
  7.972E-06 	   1.077E+28 	   1.327E+10
  8.113E-06 	   1.102E+28 	   1.351E+10
  8.257E-06 	   1.127E+28 	   1.375E+10
  8.403E-06 	   1.153E+28 	   1.399E+10
  8.551E-06 	   1.179E+28 	   1.424E+10
  8.702E-06 	   1.206E+28 	   1.449E+10
  8.856E-06 	   1.233E+28 	   1.475E+10
  9.013E-06 	   1.261E+28 	   1.501E+10
  9.173E-06 	   1.290E+28 	   1.527E+10
  9.335E-06 	   1.320E+28 	   1.554E+10
  9.500E-06 	   1.350E+28 	   1.582E+10
  9.668E-06 	   1.380E+28 	   1.610E+10
  9.839E-06 	   1.412E+28 	   1.638E+10
  1.001E-05 	   1.444E+28 	   1.667E+10
  1.019E-05 	   1.477E+28 	   1.697E+10
  1.037E-05 	   1.511E+28 	   1.727E+10
  1.055E-05 	   1.545E+28 	   1.757E+10
  1.074E-05 	   1.580E+28 	   1.789E+10
  1.093E-05 	   1.616E+28 	   1.820E+10
  1.112E-05 	   1.653E+28 	   1.852E+10
  1.132E-05 	   1.691E+28 	   1.885E+10
  1.152E-05 	   1.729E+28 	   1.919E+10
  1.172E-05 	   1.769E+28 	   1.953E+10
  1.193E-05 	   1.809E+28 	   1.987E+10
  1.214E-05 	   1.850E+28 	   2.022E+10
  1.236E-05 	   1.892E+28 	   2.058E+10
  1.258E-05 	   1.935E+28 	   2.095E+10
  1.280E-05 	   1.979E+28 	   2.132E+10
  1.303E-05 	   2.024E+28 	   2.169E+10
  1.326E-05 	   2.070E+28 	   2.208E+10
  1.349E-05 	   2.118E+28 	   2.247E+10
  1.373E-05 	   2.166E+28 	   2.287E+10
  1.397E-05 	   2.215E+28 	   2.327E+10
  1.422E-05 	   2.265E+28 	   2.368E+10
  1.447E-05 	   2.317E+28 	   2.410E+10
  1.473E-05 	   2.370E+28 	   2.453E+10
  1.499E-05 	   2.424E+28 	   2.497E+10
  1.525E-05 	   2.479E+28 	   2.541E+10
  1.552E-05 	   2.535E+28 	   2.586E+10
  1.580E-05 	   2.593E+28 	   2.631E+10
  1.608E-05 	   2.652E+28 	   2.678E+10
  1.636E-05 	   2.712E+28 	   2.725E+10
  1.665E-05 	   2.774E+28 	   2.774E+10
  1.694E-05 	   2.837E+28 	   2.823E+10
  1.724E-05 	   2.901E+28 	   2.873E+10
  1.755E-05 	   2.967E+28 	   2.924E+10
  1.786E-05 	   3.034E+28 	   2.975E+10
  1.817E-05 	   3.103E+28 	   3.028E+10
  1.850E-05 	   3.174E+28 	   3.082E+10
  1.882E-05 	   3.246E+28 	   3.136E+10
  1.916E-05 	   3.320E+28 	   3.192E+10
  1.949E-05 	   3.395E+28 	   3.248E+10
  1.984E-05 	   3.472E+28 	   3.306E+10
  2.019E-05 	   3.551E+28 	   3.364E+10
  2.055E-05 	   3.631E+28 	   3.424E+10
  2.091E-05 	   3.713E+28 	   3.485E+10
  2.128E-05 	   3.798E+28 	   3.546E+10
  2.166E-05 	   3.884E+28 	   3.609E+10
  2.204E-05 	   3.972E+28 	   3.673E+10
  2.243E-05 	   4.061E+28 	   3.738E+10
  2.283E-05 	   4.153E+28 	   3.804E+10
  2.323E-05 	   4.247E+28 	   3.872E+10
  2.364E-05 	   4.343E+28 	   3.940E+10
  2.406E-05 	   4.442E+28 	   4.010E+10
  2.448E-05 	   4.542E+28 	   4.081E+10
  2.492E-05 	   4.644E+28 	   4.153E+10
  2.536E-05 	   4.749E+28 	   4.227E+10
  2.581E-05 	   4.856E+28 	   4.302E+10
  2.626E-05 	   4.966E+28 	   4.378E+10
  2.673E-05 	   5.078E+28 	   4.455E+10
  2.720E-05 	   5.192E+28 	   4.534E+10
  2.768E-05 	   5.309E+28 	   4.615E+10
  2.817E-05 	   5.429E+28 	   4.696E+10
  2.867E-05 	   5.551E+28 	   4.779E+10
  2.918E-05 	   5.676E+28 	   4.864E+10
  2.969E-05 	   5.803E+28 	   4.950E+10
  3.022E-05 	   5.933E+28 	   5.038E+10
  3.075E-05 	   6.066E+28 	   5.127E+10
  3.129E-05 	   6.202E+28 	   5.218E+10
  3.185E-05 	   6.341E+28 	   5.310E+10
  3.241E-05 	   6.483E+28 	   5.404E+10
  3.298E-05 	   6.628E+28 	   5.500E+10
  3.357E-05 	   6.776E+28 	   5.597E+10
  3.416E-05 	   6.928E+28 	   5.696E+10
  3.477E-05 	   7.082E+28 	   5.797E+10
  3.538E-05 	   7.240E+28 	   5.900E+10
  3.601E-05 	   7.401E+28 	   6.004E+10
  3.664E-05 	   7.566E+28 	   6.111E+10
  3.729E-05 	   7.734E+28 	   6.219E+10
  3.795E-05 	   7.906E+28 	   6.329E+10
  3.862E-05 	   8.081E+28 	   6.441E+10
  3.930E-05 	   8.260E+28 	   6.555E+10
  4.000E-05 	   8.443E+28 	   6.671E+10
  4.071E-05 	   8.630E+28 	   6.789E+10
  4.143E-05 	   8.820E+28 	   6.910E+10
  4.216E-05 	   9.015E+28 	   7.032E+10
  4.290E-05 	   9.213E+28 	   7.156E+10
  4.366E-05 	   9.416E+28 	   7.283E+10
  4.444E-05 	   9.623E+28 	   7.412E+10
  4.522E-05 	   9.834E+28 	   7.543E+10
  4.602E-05 	   1.005E+29 	   7.677E+10
  4.683E-05 	   1.027E+29 	   7.813E+10
  4.766E-05 	   1.049E+29 	   7.951E+10
  4.851E-05 	   1.072E+29 	   8.092E+10
  4.936E-05 	   1.096E+29 	   8.235E+10
  5.024E-05 	   1.119E+29 	   8.381E+10
  5.112E-05 	   1.144E+29 	   8.529E+10
  5.203E-05 	   1.169E+29 	   8.680E+10
  5.295E-05 	   1.194E+29 	   8.834E+10
  5.388E-05 	   1.220E+29 	   8.991E+10
  5.484E-05 	   1.246E+29 	   9.150E+10
  5.581E-05 	   1.273E+29 	   9.312E+10
  5.679E-05 	   1.301E+29 	   9.477E+10
  5.780E-05 	   1.329E+29 	   9.644E+10
  5.882E-05 	   1.357E+29 	   9.815E+10
  5.986E-05 	   1.386E+29 	   9.989E+10
  6.092E-05 	   1.416E+29 	   1.017E+11
  6.200E-05 	   1.446E+29 	   1.035E+11
  6.309E-05 	   1.477E+29 	   1.053E+11
  6.421E-05 	   1.509E+29 	   1.072E+11
  6.534E-05 	   1.541E+29 	   1.091E+11
  6.650E-05 	   1.574E+29 	   1.110E+11
  6.767E-05 	   1.608E+29 	   1.129E+11
  6.887E-05 	   1.642E+29 	   1.149E+11
  7.009E-05 	   1.677E+29 	   1.170E+11
  7.133E-05 	   1.713E+29 	   1.191E+11
  7.259E-05 	   1.749E+29 	   1.212E+11
  7.387E-05 	   1.786E+29 	   1.233E+11
  7.518E-05 	   1.824E+29 	   1.255E+11
  7.651E-05 	   1.863E+29 	   1.277E+11
  7.786E-05 	   1.903E+29 	   1.300E+11
  7.924E-05 	   1.943E+29 	   1.323E+11
  8.064E-05 	   1.984E+29 	   1.346E+11
  8.206E-05 	   2.027E+29 	   1.370E+11
  8.351E-05 	   2.070E+29 	   1.394E+11
  8.499E-05 	   2.114E+29 	   1.419E+11
  8.649E-05 	   2.159E+29 	   1.444E+11
  8.802E-05 	   2.205E+29 	   1.470E+11
  8.958E-05 	   2.253E+29 	   1.496E+11
  9.116E-05 	   2.301E+29 	   1.522E+11
  9.277E-05 	   2.350E+29 	   1.549E+11
  9.441E-05 	   2.401E+29 	   1.577E+11
  9.608E-05 	   2.453E+29 	   1.604E+11
  9.778E-05 	   2.506E+29 	   1.633E+11
  9.951E-05 	   2.560E+29 	   1.662E+11
  1.013E-04 	   2.616E+29 	   1.691E+11
  1.031E-04 	   2.673E+29 	   1.721E+11
  1.049E-04 	   2.732E+29 	   1.752E+11
  1.067E-04 	   2.791E+29 	   1.783E+11
  1.086E-04 	   2.853E+29 	   1.814E+11
  1.105E-04 	   2.916E+29 	   1.846E+11
  1.125E-04 	   2.980E+29 	   1.879E+11
  1.145E-04 	   3.046E+29 	   1.912E+11
  1.165E-04 	   3.114E+29 	   1.946E+11
  1.186E-04 	   3.183E+29 	   1.981E+11
  1.207E-04 	   3.254E+29 	   2.016E+11
  1.228E-04 	   3.326E+29 	   2.051E+11
  1.250E-04 	   3.401E+29 	   2.088E+11
  1.272E-04 	   3.477E+29 	   2.125E+11
  1.294E-04 	   3.554E+29 	   2.162E+11
  1.317E-04 	   3.634E+29 	   2.201E+11
  1.340E-04 	   3.715E+29 	   2.240E+11
  1.364E-04 	   3.798E+29 	   2.279E+11
  1.388E-04 	   3.883E+29 	   2.320E+11
  1.413E-04 	   3.969E+29 	   2.361E+11
  1.438E-04 	   4.057E+29 	   2.402E+11
  1.463E-04 	   4.146E+29 	   2.445E+11
  1.489E-04 	   4.237E+29 	   2.488E+11
  1.515E-04 	   4.329E+29 	   2.532E+11
  1.542E-04 	   4.423E+29 	   2.577E+11
  1.570E-04 	   4.517E+29 	   2.623E+11
  1.597E-04 	   4.613E+29 	   2.669E+11
  1.625E-04 	   4.710E+29 	   2.717E+11
  1.654E-04 	   4.807E+29 	   2.765E+11
  1.683E-04 	   4.905E+29 	   2.814E+11
  1.713E-04 	   5.004E+29 	   2.863E+11
  1.744E-04 	   5.103E+29 	   2.914E+11
  1.774E-04 	   5.202E+29 	   2.966E+11
  1.806E-04 	   5.301E+29 	   3.018E+11
  1.838E-04 	   5.400E+29 	   3.072E+11
  1.870E-04 	   5.499E+29 	   3.126E+11
  1.903E-04 	   5.597E+29 	   3.181E+11
  1.937E-04 	   5.694E+29 	   3.238E+11
  1.971E-04 	   5.790E+29 	   3.295E+11
  2.006E-04 	   5.885E+29 	   3.353E+11
  2.041E-04 	   5.979E+29 	   3.413E+11
  2.077E-04 	   6.072E+29 	   3.473E+11
  2.114E-04 	   6.163E+29 	   3.535E+11
  2.152E-04 	   6.252E+29 	   3.597E+11
  2.190E-04 	   6.340E+29 	   3.661E+11
  2.228E-04 	   6.426E+29 	   3.726E+11
  2.268E-04 	   6.510E+29 	   3.792E+11
  2.308E-04 	   6.592E+29 	   3.859E+11
  2.349E-04 	   6.672E+29 	   3.927E+11
  2.390E-04 	   6.749E+29 	   3.997E+11
  2.432E-04 	   6.825E+29 	   4.068E+11
  2.475E-04 	   6.899E+29 	   4.140E+11
  2.519E-04 	   6.971E+29 	   4.213E+11
  2.564E-04 	   7.041E+29 	   4.288E+11
  2.609E-04 	   7.109E+29 	   4.363E+11
  2.655E-04 	   7.176E+29 	   4.441E+11
  2.702E-04 	   7.240E+29 	   4.519E+11
  2.750E-04 	   7.304E+29 	   4.599E+11
  2.798E-04 	   7.365E+29 	   4.681E+11
  2.848E-04 	   7.426E+29 	   4.764E+11
  2.898E-04 	   7.486E+29 	   4.848E+11
  2.950E-04 	   7.544E+29 	   4.934E+11
  3.002E-04 	   7.602E+29 	   5.021E+11
  3.055E-04 	   7.659E+29 	   5.110E+11
  3.109E-04 	   7.716E+29 	   5.201E+11
  3.164E-04 	   7.773E+29 	   5.293E+11
  3.220E-04 	   7.829E+29 	   5.386E+11
  3.277E-04 	   7.886E+29 	   5.482E+11
  3.334E-04 	   7.943E+29 	   5.579E+11
  3.393E-04 	   8.000E+29 	   5.678E+11
  3.453E-04 	   8.058E+29 	   5.778E+11
  3.514E-04 	   8.117E+29 	   5.880E+11
  3.577E-04 	   8.177E+29 	   5.985E+11
  3.640E-04 	   8.238E+29 	   6.091E+11
  3.704E-04 	   8.300E+29 	   6.198E+11
  3.770E-04 	   8.363E+29 	   6.308E+11
  3.836E-04 	   8.428E+29 	   6.420E+11
  3.904E-04 	   8.495E+29 	   6.534E+11
  3.973E-04 	   8.564E+29 	   6.649E+11
  4.043E-04 	   8.634E+29 	   6.767E+11
  4.115E-04 	   8.707E+29 	   6.887E+11
  4.188E-04 	   8.782E+29 	   7.009E+11
  4.262E-04 	   8.859E+29 	   7.133E+11
  4.337E-04 	   8.939E+29 	   7.259E+11
  4.414E-04 	   9.021E+29 	   7.388E+11
  4.492E-04 	   9.106E+29 	   7.519E+11
  4.571E-04 	   9.194E+29 	   7.652E+11
  4.652E-04 	   9.284E+29 	   7.787E+11
  4.734E-04 	   9.378E+29 	   7.925E+11
  4.818E-04 	   9.474E+29 	   8.065E+11
  4.903E-04 	   9.574E+29 	   8.208E+11
  4.990E-04 	   9.677E+29 	   8.353E+11
  5.078E-04 	   9.783E+29 	   8.501E+11
  5.168E-04 	   9.893E+29 	   8.652E+11
  5.259E-04 	   1.001E+30 	   8.805E+11
  5.352E-04 	   1.012E+30 	   8.961E+11
  5.447E-04 	   1.024E+30 	   9.120E+11
  5.543E-04 	   1.037E+30 	   9.281E+11
  5.641E-04 	   1.050E+30 	   9.446E+11
  5.741E-04 	   1.063E+30 	   9.613E+11
  5.842E-04 	   1.076E+30 	   9.783E+11
  5.945E-04 	   1.090E+30 	   9.956E+11
  6.050E-04 	   1.105E+30 	   1.013E+12
  6.157E-04 	   1.120E+30 	   1.031E+12
  6.266E-04 	   1.135E+30 	   1.049E+12
  6.377E-04 	   1.151E+30 	   1.068E+12
  6.490E-04 	   1.167E+30 	   1.087E+12
  6.605E-04 	   1.183E+30 	   1.106E+12
  6.721E-04 	   1.201E+30 	   1.126E+12
  6.840E-04 	   1.218E+30 	   1.146E+12
  6.961E-04 	   1.236E+30 	   1.166E+12
  7.084E-04 	   1.255E+30 	   1.187E+12
  7.209E-04 	   1.274E+30 	   1.208E+12
  7.337E-04 	   1.293E+30 	   1.229E+12
  7.467E-04 	   1.313E+30 	   1.251E+12
  7.599E-04 	   1.334E+30 	   1.273E+12
  7.733E-04 	   1.355E+30 	   1.295E+12
  7.870E-04 	   1.377E+30 	   1.318E+12
  8.009E-04 	   1.399E+30 	   1.342E+12
  8.150E-04 	   1.422E+30 	   1.366E+12
  8.294E-04 	   1.445E+30 	   1.390E+12
  8.441E-04 	   1.469E+30 	   1.414E+12
  8.590E-04 	   1.494E+30 	   1.439E+12
  8.742E-04 	   1.519E+30 	   1.465E+12
  8.897E-04 	   1.545E+30 	   1.491E+12
  9.054E-04 	   1.572E+30 	   1.517E+12
  9.214E-04 	   1.599E+30 	   1.544E+12
  9.377E-04 	   1.627E+30 	   1.571E+12
  9.543E-04 	   1.655E+30 	   1.599E+12
