Mass (M_sun)) 	 Radius (km) 	 Dimensionless Tidal Deformability 
1.5663543804861986	12.340499863627267	44.28210723770004
1.584558291184079	12.328792459893194	41.55079622614311
1.602589074688134	12.316381833337173	39.01253326343828
1.6204374472079832	12.303373150494364	36.65190122788791
1.638094318146037	12.289752772529074	34.45361694032096
1.6555507961976275	12.275467486406866	32.40396235208676
1.6727982064982352	12.260498578699218	30.49896483223276
1.689828099498365	12.24503341059252	28.717310220157586
1.7066322615263594	12.228852554031914	27.056747577776065
1.723202724911716	12.212038679105559	25.50698514597151
1.7395317773460923	12.194559236204965	24.060672767512894
1.7556119715094332	12.176516283183798	22.706651672401577
1.7714361242071708	12.157777971630553	21.442071159456955
1.7869963961232709	12.138488039510618	20.258400172354786
1.802283297262098	12.118504138485209	19.152034724358877
1.8172874013494682	12.097902481821377	18.11588571072435
